run	date	model	target	feature_pool	top_k	trailing	bmark_neutralization	hyperparams	val_corr_mean	val_corr_sharpe	val_corr_max_drawdown	val_mmc_mean	val_mmc_sharpe	research_score	corr_era_count	wall_clock_s	notes
baseline_jasper60	2026-05-13	xgboost	target_jasper_60	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.40,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50,""es_best"":1580}"	0.00773	0.570	-0.0618	0.00111	0.373	0.00343	95	40	non-walkforward; single model on full train
baseline_ender20	2026-05-13	xgboost	target_ender_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00749	0.549	-0.1080	0.00085	0.293	0.00317	95	32	non-walkforward; single model on full train
baseline_ender60	2026-05-13	xgboost	target_ender_60	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00932	0.726	-0.0651	0.00144	0.519	0.00420	95	35	non-walkforward; single model on full train
baseline_cyrusd20	2026-05-13	xgboost	target_cyrusd_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00120	0.131	-0.0727	-0.00009	-0.042	0.00037	95	32	non-walkforward; single model on full train
baseline_teager2b20	2026-05-13	xgboost	target_teager2b_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00526	0.424	-0.0670	0.00034	0.128	0.00206	95	31	non-walkforward; single model on full train
baseline_teager2b60	2026-05-13	xgboost	target_teager2b_60	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00806	0.558	-0.0920	0.00108	0.343	0.00352	95	31	non-walkforward; single model on full train
baseline_jasper20	2026-05-13	xgboost	target_jasper_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":5,""lr"":0.01,""subsample"":0.85,""colsample_bytree"":0.4,""reg_lambda"":5.0,""min_child_weight"":20,""max_bin"":128,""rounds"":2000,""es_rounds"":50}"	0.00566	0.454	-0.0713	0.00053	0.206	0.00233	95	32	non-walkforward; single model on full train
baseline_lgbm_ender20	2026-05-13	lgbm	target_ender_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":8,""lr"":0.005,""num_leaves"":32,""feature_fraction"":0.1,""rounds"":5000,""es_rounds"":50}"	0.00715	0.587	-0.0643	0.00101	0.414	0.00316	95	87	non-walkforward; single model on full train
baseline_lgbm_ender60	2026-05-13	lgbm	target_ender_60	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":8,""lr"":0.005,""num_leaves"":32,""feature_fraction"":0.1,""rounds"":5000,""es_rounds"":50}"	0.00745	0.508	-0.0934	0.00104	0.335	0.00328	95	165	non-walkforward; single model on full train
baseline_lgbm_cyrusd20	2026-05-13	lgbm	target_cyrusd_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":8,""lr"":0.005,""num_leaves"":32,""feature_fraction"":0.1,""rounds"":5000,""es_rounds"":50}"	0.00205	0.185	-0.0826	-0.00017	-0.068	0.00061	95	91	non-walkforward; single model on full train
baseline_lgbm_teager2b20	2026-05-13	lgbm	target_teager2b_20	faith+wisdom+strength+intelligence+rain+sunshine	60	20	0.10	"{""max_depth"":8,""lr"":0.005,""num_leaves"":32,""feature_fraction"":0.1,""rounds"":5000,""es_rounds"":50}"	0.00531	0.438	-0.0668	0.00053	0.219	0.00220	95	44	non-walkforward; single model on full train
